region,goal,value,Color
East & South Asia,01. No Poverty,76.8,#E5233D
East & South Asia,02. Zero Hunger,65.5,#DEA739
East & South Asia,03. Good Health and Well-Being,69.6,#4CA146
East & South Asia,04. Quality Education,86.3,#C7212E
East & South Asia,05. Gender Equality,55.9,#EF402D
East & South Asia,06. Clean Water and Sanitation,65.1,#27BFE6
East & South Asia,07. Affordable and Clean Energy,66.1,#FBC412
East & South Asia,08. Decent Work and Economic Growth,69.5,#A21D43
East & South Asia,"09. Industry, Innovation, and Infrastructure",57.8,#F26A2E
East & South Asia,10. Reduced Inequalities,37.1,#E01583
East & South Asia,11. Sustainable Cities and Communities,63.2,#F89D2A
East & South Asia,12. Responsible Consumption and Production,93.4,#BF8D2C
East & South Asia,13. Climate Action,91.4,#407F46
East & South Asia,14. LIfe below Water,56.2,#2097D4
East & South Asia,15. Life on Land,51.5,#59BA48
East & South Asia,"16. Peace, Justice and Strong Institutions",61.7,#126A9E
East & South Asia,17. Partnerships for the Goals,50.8,#15496B
East Europe & Central Asia,01. No Poverty,95.7,#E5233D
East Europe & Central Asia,02. Zero Hunger,58.1,#DEA739
East Europe & Central Asia,03. Good Health and Well-Being,74.1,#4CA146
East Europe & Central Asia,04. Quality Education,86.9,#C7212E
East Europe & Central Asia,05. Gender Equality,60.5,#EF402D
East Europe & Central Asia,06. Clean Water and Sanitation,71.3,#27BFE6
East Europe & Central Asia,07. Affordable and Clean Energy,63.2,#FBC412
East Europe & Central Asia,08. Decent Work and Economic Growth,68.9,#A21D43
East Europe & Central Asia,"09. Industry, Innovation, and Infrastructure",51.2,#F26A2E
East Europe & Central Asia,10. Reduced Inequalities,82.7,#E01583
East Europe & Central Asia,11. Sustainable Cities and Communities,72.8,#F89D2A
East Europe & Central Asia,12. Responsible Consumption and Production,87.4,#BF8D2C
East Europe & Central Asia,13. Climate Action,80.1,#407F46
East Europe & Central Asia,14. LIfe below Water,61.9,#2097D4
East Europe & Central Asia,15. Life on Land,65.8,#59BA48
East Europe & Central Asia,"16. Peace, Justice and Strong Institutions",61.9,#126A9E
East Europe & Central Asia,17. Partnerships for the Goals,65.7,#15496B
Latin America & Caribbean,01. No Poverty,80.2,#E5233D
Latin America & Caribbean,02. Zero Hunger,63.8,#DEA739
Latin America & Caribbean,03. Good Health and Well-Being,75.2,#4CA146
Latin America & Caribbean,04. Quality Education,88.6,#C7212E
Latin America & Caribbean,05. Gender Equality,70.3,#EF402D
Latin America & Caribbean,06. Clean Water and Sanitation,80.8,#27BFE6
Latin America & Caribbean,07. Affordable and Clean Energy,84.5,#FBC412
Latin America & Caribbean,08. Decent Work and Economic Growth,65.2,#A21D43
Latin America & Caribbean,"09. Industry, Innovation, and Infrastructure",48,#F26A2E
Latin America & Caribbean,10. Reduced Inequalities,20.3,#E01583
Latin America & Caribbean,11. Sustainable Cities and Communities,76,#F89D2A
Latin America & Caribbean,12. Responsible Consumption and Production,86.5,#BF8D2C
Latin America & Caribbean,13. Climate Action,92.5,#407F46
Latin America & Caribbean,14. LIfe below Water,61.1,#2097D4
Latin America & Caribbean,15. Life on Land,61.6,#59BA48
Latin America & Caribbean,"16. Peace, Justice and Strong Institutions",60,#126A9E
Latin America & Caribbean,17. Partnerships for the Goals,66.9,#15496B
Mid East & North Africa,01. No Poverty,86.4,#E5233D
Mid East & North Africa,02. Zero Hunger,60.4,#DEA739
Mid East & North Africa,03. Good Health and Well-Being,72.5,#4CA146
Mid East & North Africa,04. Quality Education,68.8,#C7212E
Mid East & North Africa,05. Gender Equality,43.6,#EF402D
Mid East & North Africa,06. Clean Water and Sanitation,58.2,#27BFE6
Mid East & North Africa,07. Affordable and Clean Energy,64.7,#FBC412
Mid East & North Africa,08. Decent Work and Economic Growth,62.1,#A21D43
Mid East & North Africa,"09. Industry, Innovation, and Infrastructure",50.7,#F26A2E
Mid East & North Africa,10. Reduced Inequalities,73.6,#E01583
Mid East & North Africa,11. Sustainable Cities and Communities,61.2,#F89D2A
Mid East & North Africa,12. Responsible Consumption and Production,89.3,#BF8D2C
