Goal,Target,Indicators
8. Decent Work and Economic Growth,8.1 Sustain per capita economic growth,8.1.1 Annual growth rate of real GDP per capita
8. Decent Work and Economic Growth,8.2 Achieve higher levels of economic productivity,8.2.1 Annual growth rate of real GDP per employed person
8. Decent Work and Economic Growth,"8.3 Promote development-oriented policies that support productive activities, decent job creation, entrepreneurship","8.3.1 Proportion of informal employment in total employment, by sector and sex"
8. Decent Work and Economic Growth,8.4 Improve global resource efficiency in consumption and production,"8.4.1 Material footprint, material footprint per capita, and material footprint per GDP"
8. Decent Work and Economic Growth,8.4 Improve global resource efficiency in consumption and production,"8.4.2 Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP"
8. Decent Work and Economic Growth,8.5 Achieve full and productive employment and decent work for all,"8.5.1 Average hourly earnings of employees, by sex, age, occupation and persons with disabilities"
8. Decent Work and Economic Growth,8.5 Achieve full and productive employment and decent work for all,"8.5.2 Unemployment rate, by sex, age and persons with disabilities"
8. Decent Work and Economic Growth,"8.6 Reduce the proportion of youth not in employment, education or training","8.6.1 Proportion of youth (aged 15–24 years) not in education, employment or training"
8. Decent Work and Economic Growth,"8.7 Eradicate forced labour, end modern slavery and human trafficking","8.7.1 Proportion and number of children aged 5–17 years engaged in child labour, by sex and age"
8. Decent Work and Economic Growth,8.8 Protect labour rights and promote safe and secure working environments for all,"8.8.1 Fatal and non-fatal occupational injuries per 100,000 workers, by sex and migrant status"
8. Decent Work and Economic Growth,8.8 Protect labour rights and promote safe and secure working environments for all,"8.8.2 Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation, by sex and migrant status"
8. Decent Work and Economic Growth,8.9 Devise and implement policies to promote sustainable tourism,8.9.1 Tourism direct GDP as a proportion of total GDP and in growth rate
8. Decent Work and Economic Growth,8.10 Strengthen the capacity of domestic financial institutions,"8.10.1 (a) Number of commercial bank branches per 100,000 adults and (b) number of automated teller machines (ATMs) per 100,000 adults"
8. Decent Work and Economic Growth,8.10 Strengthen the capacity of domestic financial institutions,8.10.2 Proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider
8. Decent Work and Economic Growth,8.a Increase Aid for Trade support for developing countries,8.a.1 Aid for Trade commitments and disbursements
8. Decent Work and Economic Growth,8.b Develop and operationalize a global strategy for youth employment,"8.b.1 Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy"
"16. Peace, Justice and Strong Institutions",16.1 Reduce all forms of violence and related death rates everywhere,"16.1.1 Number of victims of intentional homicide per 100,000 population, by sex and age"
"16. Peace, Justice and Strong Institutions",16.1 Reduce all forms of violence and related death rates everywhere,"16.1.2 Conflict-related deaths per 100,000 population, by sex, age and cause"
"16. Peace, Justice and Strong Institutions",16.1 Reduce all forms of violence and related death rates everywhere,"16.1.3 Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
"16. Peace, Justice and Strong Institutions",16.1 Reduce all forms of violence and related death rates everywhere,16.1.4 Proportion of population that feel safe walking alone around the area they live after dark
"16. Peace, Justice and Strong Institutions","16.2 End abuse, exploitation, trafficking and all forms of violence against and torture of children",16.2.1 Proportion of children aged 1–17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month
"16. Peace, Justice and Strong Institutions","16.2 End abuse, exploitation, trafficking and all forms of violence against and torture of children","16.2.2 Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation"
"16. Peace, Justice and Strong Institutions","16.2 End abuse, exploitation, trafficking and all forms of violence against and torture of children",16.2.3 Proportion of young women and men aged 18–29 years who experienced sexual violence by age 18
"16. Peace, Justice and Strong Institutions",16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all,16.3.1 Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms
"16. Peace, Justice and Strong Institutions",16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all,16.3.2 Unsentenced detainees as a proportion of overall prison population
"16. Peace, Justice and Strong Institutions",16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all,"16.3.3 Proportion of the population who have experienced a dispute in the past two years and who accessed a formal or informal dispute resolution mechanism, by type of mechanism"
"16. Peace, Justice and Strong Institutions","16.4 Reduce illicit financial and arms flows, strengthen the recovery and return of stolen assets and combat all forms of organized crime",16.4.1 Total value of inward and outward illicit financial flows (in current United States dollars)
